item_id,item_desc,quantity
9780297609315,HD FAST FOOD,1
9780297844969,POWER OF SHAPE,2
9780297858355,IMPROVE DECLAR,1
9780297866282,ABBOT SQUEEZE,1
9780297871132,CRBBGE PLAY WN,2
9780297871415,DORMR DEDUCTN,6
9780304363308,IMPRV BDNG PLY,1
9780304364763,BETTER BRIDGE,2
9780304365876,100 WINNG BRDG,1
9780304368075,ADVENTURS CARD,1
9780340212370,WALLACE,1
9780340371862,BRUCE TRILOGY,1
9780340612118,WHN JESUS RTRN,1
9780340612576,IMPACT OF GOD,2
9780340689547,TUNNEL RATS,1
9780340844106,PILGRIM PROGRS,2
9780340861899,CHALLENGE,2
9780340875582,MIXED UP TALES,2
9780340919408,ALEX FERGUSON,2
9780340921692,HOT BLOOD,1
9780340956489,HENDERSON'S BO,1
9780340977620,FAITHFUL PLACE,1
9780340988954,SIX DINNER SID,2
9780340994559,CAR FEVER,1
9780340999172,HENDERSON'S BO,1
9780340999202,CHERUB: PEOPLE,1
9780340999240,CHERUB: BLACK,1
9780340999615,SECRET BRKRS 1,1
9780340999790,JACK AND JILL,2
9780349001821,ES  FRNDS FSCO,2
9780349005713,FOX AT MANGER,1
9780349007472,HEADMISTRESS,1
9780349007540,MOLLY KEANE,1
9780349009308,ANNE GRN GBLES,2
9780349009384,ANNE OF AVNLEA,2
9780349009445,ANNE WNDY WLLW,4
9780349009490,ANNE INGLESIDE,2
9780349009674,GHOST STORIES,1
9780349010007,WRLD MY WLDRNS,1
9780349010021,CREWE TRAIN,1
9780349010694,EVE: THE NEW G,4
9780349011493,THOROUGHLY MOD,5
9780349011837,GOOD WIVES,1
9780349012285,BETWEEN FRIEN,1
9780349013336,SECRTDIARYMAV2,7
9780349014005,CINDERELLA AT,1
9780349014623,WHERE ARE YO,1
9780349016986,VIRAGO BK WTCH,2
9780349017143,FURIES,15
9780349017167,FURIES,1
9780349017402,FAT BLACK W,5
9780349017419,SADEIAN WOMAN,1
9780349018652,LOVE AMONG T,3
9780349107783,BAD SEED,1
9780349115511,GEORGE ORWELL,2
9780349123394,VIKING FIRE,1
9780349123837,DYNASTY,1
9780349128498,POWER OF ART,1
9780349128672,CHASING SHAD,8
9780349130873,FACING THE MUS,4
9780349134741,BEACH HOUSE,1
9780349135090,LIMITED EDITIO,1
9780349135113,LTD EDITION 1,2
9780349135137,ELECTRONICALLY,4
9780349135205,MISSING WIFE A,1
9780349135243,MURDER AND THE,14
9780349135304,NEW PURITANS,1
9780349135564,MERCY CHAIR,60
9780349141602,TWOPENCE COL,2
9780349142517,BLIND DEFENC,3
9780349143484,GOLDEN RULE,1
9780349143521,FATAL PROOF,2
9780349143644,AFTERNOONS WIT,1
9780349144115,THROUGH LOOKIN,1
9780349144443,MIGRANTS,17
9780349144474,WHEN THERE WER,2
9780349144672,SPIRITUAL PATH,2
9780349144849,GETTING RID OF,1
9780349144856,HAPPY NOW,1
9780349144863,FULL WHACK,2
9780349144870,KING OF THE AN,3
9780349145105,GLOWING STIL,14
9780349145488,STILL A BIT,1
9780349146270,ATTEN ALL SHIP,1
9780349401058,TODDLERCALM,1
9780349404868,AUTHENTIC,1
9780349405209,GENTLE SLEEP B,1
9780349408729,GENTLE PARENTI,1
9780349410104,TEARS HEAL,1
9780349413112,MERMAID SCREAM,1
9780349414003,IMPRV YR DGSTN,1
9780349415826,FOOD EFFECT DT,1
9780349416311,SHADOWS,1
9780349416335,OMENS,1
9780349417073,BONE DRIVEN,1
9780349418919,PLAGUE MAIDEN,1
9780349419343,SUPERCUTE FUTU,3
9780349419411,LITTLE BOOK OF,2
9780349420042,SECOND BABY BO,2
9780349420738,WHEN DARKNESS,1
9780349421513,GOING SOLO,2
9780349422206,ORGANISED MUM,1
9780349423333,SISTER TO SIST,1
9780349425023,BOOK OF TAROT,1
9780349425191,WORKHOUSE SIST,4
9780349425313,EVERYTHING I H,2
9780349425429,MIND OVER MOTH,3
9780349425641,LITTLE BOOK OF,2
9780349425757,SERPENT'S POIN,1
9780349427232,ROSE DAUGHTER,6
9780349427775,BETWEEN,9
9780349428475,REAPER,1
9780349428499,HUNTED,2
9780349428710,CENTRAL LINE,9
9780349428819,THE 7 QUESTI,4
9780349429199,BOOTSTRAP YOUR,1
9780349429281,BUSY@HOME,2
9780349429298,ANGELS OF VENI,2
9780349429359,RISE AND SHINE,3
9780349430379,LITTLE BOOK OF,2
9780349431185,OLD SCHOOL TIE,2
9780349431284,BEGINNINGS,1
9780349431499,STRANGER BESID,1
9780349432717,LOST DAUGHTER,6
9780349433141,KILLING PLACE,2
9780349433158,KILLING PLACE,15
9780349433172,COFFIN ISLAND,2
9780349433271,LITTLE BOOK OF,3
9780349434544,WICKED IN ME,2
9780349434902,SEEKING THE,1
9780349435534,DAUGTHR HEARTB,1
9780349435732,DANISH WR TEEN,3
9780349436562,BK ENCHANTED L,9
9780349438801,BLACK MAGIC,8
9780349440941,KISSING DEMONS,7
9780349440958,WATCHING GHOST,2
9780349440972,WALKING BY N,2
9780349701035,PRIVATE JOYS O,2
9780349702421,POOR LIL SICK,2
9780349726625,MATERIAL GIRLS,8
9780349726830,ALL IN MY HEAD,4
9780349726960,HAGS,25
9780349726984,HAGS,1
9780349727462,SAME OLD GIRL,12
9780575078819,BRAIDED PATH,1
9780575081574,NECRONOMICON,3
9780575082779,ELFSORROW,1
9780575082847,NIGHTCHILD,1
9780575095618,EYE WINTR FURY,2
9780575096387,SAVAGE CITY,3
9780575097520,FAIR REBEL,1
9780575129047,WASP,1
9780747267201,HAREM,1
9780749926786,HOLFORD DIETGL,1
9780749929626,STAR PRINCIPLE,1
9780749954116,SAY NO CANCER,2
9780749954901,CANCR SURVR CM,1
9780750296830,FROG OLYMPICS,2
9780750297097,ENDRNCE SHCKTN,1
9780750298209,GRT FR LNDN,1
9780751537581,CONSP VIOLENCE,1
9780751539110,MANCHES UNITED,2
9780751539158,VEIN DECEIT,1
9780751539486,THIRD BILL SLI,1
9780751543698,PROMISE NADIA,1
9780751547450,NOTTING HLL NY,2
9780751549744,LOST ABBOT,2
9780751549782,POISONOUS PLOT,1
9780751550245,FR NOTTING HIL,1
9780751552133,CHOC LOV XMAS,2
9780751552843,EXCTNR ST PAUL,1
9780751554885,DARKEST GOODBY,1
9780751556346,LND MY DREAMS,1
9780751557039,V BRIT PROBLMS,1
9780751559545,ROSELAND,4
9780751562743,CLERKENWELL AF,2
9780751563054,SAM KILLS CHRI,1
9780751563399,ROGUE TRADER,2
9780751565225,BFR I WS YOURS,1
9780751566079,STRT SCK DRAWR,2
9780751568707,WINTERS SNOW,1
9780751568912,LITTLE ALF,1
9780751569513,MRK OF MURDERR,1
9780751569544,DEVILS DSCPLES,1
9780751569742,HYGGE HOLIDAY,1
9780751570113,VERY BRITISH P,1
9780751570779,BACK IN THE FR,2
9780751572131,SUNNY DAYS AND,1
9780751572162,SUNNY DAYS AND,1
9780751572544,WORLDSFITESTBK,1
9780751572957,FREQUENCY OF U,1
9780751574135,MY LIFE WITH M,2
9780751574388,EMERGENCY QUES,2
9780751574456,BLACK RAIN FAL,2
9780751575057,ANNIVERSARY,6
9780751576849,HUNTED,1
9780751576863,UNDER SAME STA,2
9780751579864,ITALIAN ESCAPE,1
9780751579895,ONE ITALIAN,1
9780751580013,BEFORE THE STO,1
9780751580099,WILL YOU TAKE,2
9780751580112,RESCUE ME,1
9780751581034,LOUDER I WILL,1
9780751581072,HISTORY OF BRI,2
9780751581386,CHEATED,9
9780751581805,SECRETS OF ASH,4
9780751581898,PUDDING LANE P,2
9780751582024,MY FARMING LIF,1
9780751582406,BREAKING POINT,2
9780751582895,52 TIMES BRITA,1
9780751583007,OH  WHAT A LOV,1
9780751583151,PAYDAY,1
9780751583298,ECHO OFTHE DEA,1
9780751583564,CHEATED,8
9780751583823,ONCE UPON A CR,1
9780751583892,HOW TO SURVIVE,1
9780751584332,YEAR UNFOLDING,4
9780751585056,ONLY HEROES AN,2
9780751585476,RAMADAN JOURNA,6
9780751585766,CAN I HAVE MY,1
9780753820902,VICTORIAN LOND,2
9780753821251,BRUNEL,1
9780753822029,THROUGH GERMAN,1
9780753826638,HIST SCOTLAND,132
9780755315390,WINNING N ENGH,1
9780755322985,BUTCHR ST PETR,1
9780755332359,DANCE DEATH,1
9780755353767,LEGION,1
9780755353798,PRAETORN EOE11,1
9780755353828,BLOOD CROWS,3
9780755364220,POIROT AND ME,1
9780755390939,YR MRVLS WAYS,2
9780857058553,PHOTOGRAP @ 16,1
9780857381606,MACBETH,1
9780857384881,RICHER THN GOD,2
9780857384928,DEAD WONT SLEE,1
9780857389985,SECOND DEADLY,1
9780860689690,SOUTH RIDING,1
9781035400089,CHERRYWOD MURD,2
9781035400140,GOOD GIRLS D,1
9781035400751,FRENCH SPY,1
9781035400850,KNIGT ATLAN 17,1
9781035401208,HOPE THIS HE,2
9781035401673,WISH LISTS AND,42
9781035402274,ELON MUSK (A,7
9781035402489,TOFFE FAC GIRL,7
9781035402540,HAZARD SPECTRU,17
9781035402656,SMALL HOURS,20
9781035403738,LIFE WORTH LIV,6
9781035404438,BREASTFEEDIN,3
9781035404537,DUE DATE,1
9781035404612,VITAL ORGANS,56
9781035404933,GOOD BAD HISTO,3
9781035404964,KILLING TIME,90
9781035405602,GO SEEK,1
9781035405688,MURDER BY,10
9781035405954,HOW SAVE MONEY,4
9781035405985,OTHER WOMAN,42
9781035407293,COMMITTED,23
9781035407323,BANNERS O,237
9781035407705,TINSELTOWN,6
9781035407736,TINSELTOWN,6
9781035408399,JANUARY BABY,2
9781035408412,FEBRUARY BABY,1
9781035408436,MARCH BABY,2
9781035408450,APRIL BABY,1
9781035408474,MAY BABY,1
9781035408498,JUNE BABY,1
9781035408511,JULY BABY,1
9781035408535,AUGUST BABY,1
9781035408559,SEPTEMBER BABY,3
